run_name,side,event_type,frame_index,correct_leg
run_11_150cad,left,initial_contact,199,unknown
run_11_150cad,right,initial_contact,223,True
run_11_150cad,left,initial_contact,247,True
run_11_150cad,right,initial_contact,271,True
run_11_150cad,left,initial_contact,295,True
run_11_150cad,right,initial_contact,319,True
run_11_150cad,left,initial_contact,343,True
run_11_150cad,right,initial_contact,367,True
run_11_150cad,left,initial_contact,392,True
run_11_150cad,right,initial_contact,416,True
run_11_150cad,left,initial_contact,441,True
run_11_150cad,right,initial_contact,465,True
run_12_160cad,left,initial_contact,36,unknown
run_12_160cad,right,initial_contact,58,unknown
run_12_160cad,left,initial_contact,82,unknown
run_12_160cad,right,initial_contact,104,unknown
run_12_160cad,left,initial_contact,127,True
run_12_160cad,right,initial_contact,150,False
run_12_160cad,left,initial_contact,173,True
run_12_160cad,right,initial_contact,196,True
run_12_160cad,left,initial_contact,220,True
run_12_160cad,right,initial_contact,243,True
run_12_160cad,left,initial_contact,267,True
run_12_160cad,right,initial_contact,291,True
run_12_160cad,left,initial_contact,315,True
run_13_170cad,left,initial_contact,37,unknown
run_13_170cad,right,initial_contact,60,True
run_13_170cad,left,initial_contact,82,True
run_13_170cad,right,initial_contact,104,True
run_13_170cad,left,initial_contact,126,True
run_13_170cad,right,initial_contact,148,True
run_13_170cad,left,initial_contact,169,True
run_13_170cad,right,initial_contact,190,True
run_13_170cad,left,initial_contact,212,True
run_13_170cad,right,initial_contact,235,True
run_13_170cad,left,initial_contact,256,True
run_3_fast_cadenc,right,initial_contact,11,True
run_3_fast_cadenc,left,initial_contact,22,True
run_3_fast_cadenc,right,initial_contact,33,True
run_3_fast_cadenc,left,initial_contact,45,True
run_3_fast_cadenc,right,initial_contact,56,True
run_3_fast_cadenc,left,initial_contact,67,True
run_3_fast_cadenc,right,initial_contact,79,True
run_3_fast_cadenc,left,initial_contact,91,True
run_3_fast_cadenc,right,initial_contact,102,True
run_14_160cad,right,initial_contact,93,unknown
run_14_160cad,left,initial_contact,113,unknown
run_14_160cad,right,initial_contact,137,True
run_14_160cad,left,initial_contact,157,True
run_14_160cad,right,initial_contact,179,True
run_14_160cad,left,initial_contact,201,True
run_14_160cad,right,initial_contact,224,True
run_14_160cad,left,initial_contact,247,False
run_14_160cad,right,initial_contact,271,True
run_15_low_cad,left,initial_contact,30,unknown
run_15_low_cad,right,initial_contact,57,True
run_15_low_cad,left,initial_contact,86,True
run_15_low_cad,right,initial_contact,114,True
run_15_low_cad,left,initial_contact,141,True
run_15_low_cad,right,initial_contact,170,True
run_15_low_cad,left,initial_contact,197,True
run_15_low_cad,right,initial_contact,226,True
run_17_150cad_left,left,initial_contact,77,True
run_17_150cad_left,right,initial_contact,101,True
run_17_150cad_left,left,initial_contact,124,True
run_17_150cad_left,right,initial_contact,148,True
run_17_150cad_left,left,initial_contact,170,True
run_17_150cad_left,right,initial_contact,194,True
run_18_150cad_right,right,initial_contact,75,True
run_18_150cad_right,left,initial_contact,97,True
run_18_150cad_right,right,initial_contact,119,True
run_18_150cad_right,left,initial_contact,142,True
run_18_150cad_right,right,initial_contact,164,True
run_18_150cad_right,left,initial_contact,187,True
run_18_150cad_right,right,initial_contact,210,True
run_19_160cad_left,left,initial_contact,68,unknown
run_19_160cad_left,right,initial_contact,92,True
run_19_160cad_left,left,initial_contact,116,True
run_19_160cad_left,right,initial_contact,141,True
run_19_160cad_left,left,initial_contact,165,True
run_19_160cad_left,right,initial_contact,190,True
run_19_160cad_left,left,initial_contact,214,True
run_20_160cad_right,left,initial_contact,92,True
run_20_160cad_right,right,initial_contact,116,True
run_20_160cad_right,left,initial_contact,140,True
run_20_160cad_right,right,initial_contact,164,True
run_20_160cad_right,left,initial_contact,188,True
run_20_160cad_right,right,initial_contact,211,True
run_20_160cad_right,left,initial_contact,235,True
run_21_170cad_left,left,initial_contact,65,True
run_21_170cad_left,right,initial_contact,88,True
run_21_170cad_left,left,initial_contact,109,True
run_21_170cad_left,right,initial_contact,133,True
run_21_170cad_left,left,initial_contact,153,True
run_21_170cad_left,right,initial_contact,177,True
run_21_170cad_left,left,initial_contact,197,True
run_22_170cad_right,right,initial_contact,96,True
run_22_170cad_right,left,initial_contact,118,True
run_22_170cad_right,right,initial_contact,139,True
run_22_170cad_right,left,initial_contact,160,True
run_22_170cad_right,right,initial_contact,183,True
run_22_170cad_right,left,initial_contact,205,True
run_22_170cad_right,right,initial_contact,226,True
run_23_140cad_left,right,initial_contact,53,False
run_23_140cad_left,left,initial_contact,77,True
run_23_140cad_left,right,initial_contact,103,True
run_23_140cad_left,left,initial_contact,128,True
run_23_140cad_left,right,initial_contact,154,True
run_23_140cad_left,left,initial_contact,179,True
run_23_140cad_left,right,initial_contact,206,True
run_24_140cad_right,left,initial_contact,112,True
run_24_140cad_right,right,initial_contact,138,True
run_24_140cad_right,left,initial_contact,163,True
run_24_140cad_right,right,initial_contact,189,True
run_24_140cad_right,left,initial_contact,214,True
run_24_140cad_right,right,initial_contact,240,True
