run_name,side,event_type,frame_index,correct_leg
run_11_150cad,left,toe_off,216,unknown
run_11_150cad,right,toe_off,242,True
run_11_150cad,left,toe_off,265,True
run_11_150cad,right,toe_off,290,True
run_11_150cad,left,toe_off,313,True
run_11_150cad,right,toe_off,338,True
run_11_150cad,left,toe_off,360,True
run_11_150cad,right,toe_off,385,True
run_11_150cad,left,toe_off,410,True
run_11_150cad,right,toe_off,434,True
run_11_150cad,left,toe_off,458,True
run_11_150cad,right,toe_off,483,unknown
run_23_140cad_left,right,toe_off,71,unknown
run_23_140cad_left,left,toe_off,95,True
run_23_140cad_left,right,toe_off,121,True
run_23_140cad_left,left,toe_off,146,True
run_23_140cad_left,right,toe_off,172,True
run_23_140cad_left,left,toe_off,198,True
run_23_140cad_left,right,toe_off,225,unknown
run_22_170cad_right,left,toe_off,91,True
run_22_170cad_right,right,toe_off,113,True
run_22_170cad_right,left,toe_off,134,True
run_22_170cad_right,right,toe_off,156,True
run_22_170cad_right,left,toe_off,177,True
run_22_170cad_right,right,toe_off,200,True
run_22_170cad_right,left,toe_off,221,True
run_22_170cad_right,right,toe_off,244,unknown
run_20_160cad_right,right,toe_off,87,True
run_20_160cad_right,left,toe_off,109,True
run_20_160cad_right,right,toe_off,135,True
run_20_160cad_right,left,toe_off,158,True
run_20_160cad_right,right,toe_off,182,True
run_20_160cad_right,left,toe_off,205,True
run_20_160cad_right,right,toe_off,230,True
